NAMASTE_code,NAMASTE_term,Biomedicine_code,Biomedicine_term,Biomedicine_mapping_type,TM-2_code,TM-2_term,TM-2_mapping_type
AAB-20,ekA~ggarogaH (kEvalavAta),,,,SS82,Vata predominant age pattern (TM2),semantic_match
AAB-21,oShThaBedaH (kEvalavAta),"LA40.0, LA40.1, LA40.2, LA40.Z, LA41.0, LA41.1, LA41.Z, LA4Y, LA4Z","Cleft lip and alveolus, bilateral, Cleft lip and alveolus, unilateral, Cleft lip and alveolus, unspecified, Cleft lip, bilateral, Cleft lip, median, Cleft lip, unilateral, Cleft lip, unspecified, Clefts of lip, alveolus or palate, unspecified, Other specified clefts of lip, alveolus or palate",semantic_match,SM1M,Dry chapped lip disorder (TM2),semantic_match
SL02 (AAB-22),kaNThodhvaMsaH (kEvalavAta),MA82.10,Hoarseness,semantic_match,SL02,Hoarseness of voice disorder (TM2),direct_match
SL02 (AAB-22),kaNThodhvaMsaH (kEvalavAta),MA82.10,Hoarseness,semantic_match,SL02,Hoarseness of voice disorder (TM2),direct_match
AAB-23,karNaSUlaH (kEvalavAta),AB70.2,Otalgia,semantic_match,SK8Z,"Ear disorders (TM2), unspecified",semantic_match
AAB-24,kampaH/vepathuH (kEvalavAta),"8A04.1, 8A04.3Y","Essential tremor or related tremors, Other specified secondary tremor",semantic_match,SK52,Tremor disorder (TM2),semantic_match
AAB-25 (SM1Y),kaShAyAsyatA (kEvalavAta),,,,ST0K,Abnormal hot and moist temperament associated with substance pattern (TM2),semantic_match
SP97 (AAB-26),klamaH (kEvalavAta),,,,SP97,Severe fatigue disorder (TM2),direct_match
SN41 (AAB-27),kArShNyam (kEvalavAta),,,,SN41,Discoloration of body disorder (TM2),direct_match
AAB-28,kubjatvam (kEvalavAta),FA70.0,Kyphosis,semantic_match,SS80,Kapha predominant age pattern (TM2),semantic_match
SP61 (AAB-29),kArSyam (kEvalavAta),,,,SP61,Emaciation disorder (TM2),direct_match
SN4C (AAB-30),keSaBUmisPuTanam (kEvalavAta),EG30.Z,"Skin disorders localised to the scalp, unspecified",semantic_match,SN4C,Scaling of scalp and forehead skin disorder (TM2),direct_match
AAB-31,kha~jjaH/kha~jjatvam (kEvalavAta),,,,SS55,Kapha-Vata constitution pattern (TM2),semantic_match
AAB-32,garBanASaH (kEvalavAta),,,,SS82,Vata predominant age pattern (TM2),semantic_match
SP45 (AAB-33),grIvAstamBaH (kEvalavAta),,,,SP45,Cervical spondylosis disorder (TM2),direct_match
AAB-34,gudaBraMSaH (kEvalavAta),"9B82, DB31.2","Rectal prolapse, Vitreous prolapse",semantic_match,SM55,Rectal prolapse disorder (TM2),semantic_match
SM50 (AAB-35),gudArtiH (kEvalavAta),"8E43.Z, XM1DD2","Guacetisal, Pain disorders, unspecified",semantic_match,SM50,Proctalgia disorder (TM2),direct_match
AAB-36 (SP1Y),gulPa-grahaH (kEvalavAta),,,,SK55,Weakness of thighs due to vata disorder (TM2),semantic_match
AAB-37,gRudhrasI (kEvalavAta),,,,SK55,Weakness of thighs due to vata disorder (TM2),semantic_match
SK91 (AAB-38),ghrANanASaH/nAsAhuNDanam (kEvalavAta),,,,SK91,Anosmia disorder (TM2),direct_match
AAB-39(SP1Y),jAnuBedaH (kEvalavAta),,,,SK55,Weakness of thighs due to vata disorder (TM2),semantic_match
AAB-40 (SP1Y),jAnuviSleShaH (kEvalavAta),,,,SK55,Weakness of thighs due to vata disorder (TM2),semantic_match
SP95 (AAB-41),jRumBA (kEvalavAta),,,,SP95,Excessive yawning disorder (TM2),direct_match
AAB-42(SP98),tamaH (kEvalavAta),,,,SK55,Weakness of thighs due to vata disorder (TM2),semantic_match
AAB-43,timiraH (kEvalavAta),,,,SK7Y,Other specified eye disorders (TM2),semantic_match
AAB-44 (SN9Y),tvakSUnyatA (kEvalavAta),5A50.Z,"Hypoparathyroidism, unspecified",semantic_match,SC12,Hypogalactia disorder (TM1),semantic_match
AAB-45 (SP9Y),todaH (kEvalavAta),,,,SN40,Dermatitis disorder (TM2),semantic_match
AAB-46(SK30),daNDakaH (kEvalavAta),,,,SE3A,Infant stiffness disorder (TM1),semantic_match
AAB-47,dantaBedaH (kEvalavAta),,,,SM1A,Odontalgia disorder (TM2),semantic_match
AAB-48 (SM1Y),dantaSaithilyam (kEvalavAta),,,,SM1G,Discolouration of teeth disorder (TM2),semantic_match
SN60(AAB-49),nakhaBedaH (kEvalavAta),,,,SN60,Brittle nails disorder (TM2),direct_match
AAB-50(SN7Y),hrasvakeSaH (kEvalavAta),"ED7Y, ED9Y, XH8MN8","Other specified disorders involving the hair follicle, Other specified disorders of hair, PUVA keratosis",semantic_match,SN7Z,"Hair disorders (TM2), unspecified",semantic_match
AAB-51,nirAmavAtaH,,,,SR10,Vitiation of vāta pattern (TM2),semantic_match
AAB-52,pakShAghAtaH/pakShavadhaH (kEvalavAta),MB53.Z,"Hemiplegia, unspecified",semantic_match,SK22,Hemiplegia disorder (TM2),semantic_match
AAB-53(SK21),pA~ggulyam (kEvalavAta),,,,SK2Y,Other specified paralysis disorders (TM2),semantic_match
AAB-54(SK5Y),pAdaBraMSaH (kEvalavAta),,,,SB71,Foot dampness itch disorder (TM1),semantic_match
AAB-55(SP4Y),pAdaSUlaH (kEvalavAta),,,,SK55,Weakness of thighs due to vata disorder (TM2),semantic_match
AAB-56(SP45),pAdasuptatA (kEvalavAta),,,,SK54,Numbness disorder (TM2),semantic_match
SN4R(AAB-57),pAruShyam (kEvalavAta),ME65.1,Itching of skin,semantic_match,SN4R,Roughness of skin disorder (TM2),direct_match
AAB-58,pArSvAvamardaH (kEvalavAta),,,,SM70,Flank pain disorder (TM2),semantic_match
AAB-59(SP9Y),piNDikodveShTanam (kEvalavAta),FB32.Y,Other specified disorders of muscles,semantic_match,SP2Y,Other specified muscle disorders (TM2),semantic_match
AAB-60,purIShAtigADhatvam (kEvalavAta),,,,SS2A,Suppression of stool pattern (TM2),semantic_match
SP42(AAB-61),pRuShTha-grahaH (kEvalavAta),,,,SP42,Lumbar spondylosis disorder (TM2),direct_match
AAB-62,pralApakaH (kEvalavAta),"6C47.5, 6C4G.5, 6D70.0, 6D70.1, 6D70.2, 6D70.Y, 6D70.Z","Delirium due to disease classified elsewhere, Delirium due to multiple etiological factors, Delirium due to psychoactive substances including medications, Delirium induced by unknown or unspecified psychoactive substance, Delirium, other specified cause, Delirium, unspecified or unknown cause, Synthetic cathinone-induced delirium",semantic_match,SQ00,Delirium disorder (TM2),semantic_match
AAB-63,bAdhiryam (kEvalavAta),AB52,Deafness not otherwise specified,semantic_match,SK81,Deafness disorder (TM2),semantic_match
AAB-64(SP4Y),bAhuSoShaH (kEvalavAta),,,,SP4Z,"Bone, joint and muscle disorders (TM2), unspecified",semantic_match
AAB-65(SP9Y),balahAniH (kEvalavAta),,,,SN00,Balanitis disorder (TM2),semantic_match
AAB-66(SP9Y),BedaH (kEvalavAta),,,,SB50,Bed sore disorder (TM1),semantic_match
AAB-67,BIrutA (kEvalavAta),,,,SK55,Weakness of thighs due to vata disorder (TM2),semantic_match
AAB-68(SM7Y),mala-apravRutiH (kEvalavAta),,,,SS2A,Suppression of stool pattern (TM2),semantic_match
AAB-69,mUkatvam (kEvalavAta),MA80.0,Aphasia,semantic_match,SS82,Vata predominant age pattern (TM2),semantic_match
AAB-70,mohaH (kEvalavAta),,,,SS82,Vata predominant age pattern (TM2),semantic_match
AAB-71,BramaH (kEvalavAta),,,,SS82,Vata predominant age pattern (TM2),semantic_match
AAB-72(SK5Y),BrUvyudAsaH (kEvalavAta),,,,SK7Z,"Eye disorders (TM2), unspecified",semantic_match
AAB-73,manyAstamBaH (kEvalavAta),,,,SL2Z,"Eye, ear, nose, throat and neck disorders (TM2), unspecified",semantic_match
SM1N(AAB-74),mukhaSoShaH (kEvalavAta),"DA03.Y, DA03.Z","Diseases of tongue, unspecified, Other specified diseases of tongue",semantic_match,SM1N,Xerostomia disorder (TM2),direct_match
SM81(AAB-75),mUtranigrahaH (kEvalavAta),MF50.3,Retention of urine,semantic_match,SM81,Retention of urine disorder (TM2),direct_match
AAB-76,rajonASaH (kEvalavAta),,,,SS82,Vata predominant age pattern (TM2),semantic_match
SN42(AAB-77),raukShyam (kEvalavAta),,,,SN42,Dryness of skin disorder (TM2),direct_match
AAB-78(SP9Y),lomaharShaH (kEvalavAta),,,,SM8A,Haematuria disorder (TM2),semantic_match
AAB-79(SK0Y),lalATaBedaH (kEvalavAta),"8A81.0, 8A81.1, 8A81.2, 8A81.Y, 8A81.Z, 8A83, 8A84.Y, 8A8Y, 8A8Z, MB4D, MG30.67, MG30.6Y","Chronic headache associated with a substance or its withdrawal, Chronic tension-type headache, Frequent episodic tension-type headache, Headache disorders, unspecified, Headache, not elsewhere classified, Infrequent episodic tension-type headache, Other primary headache disorder, Other specified chronic secondary headache or orofacial pain, Other specified headache disorders, Other specified secondary headache, Other specified tension-type headache, Tension-type headache, unspecified",semantic_match,SK0Y,Other specified headache disorders (TM2),direct_match
AAB-80(SP1Y),trikagrahaH (kEvalavAta),XA3T32,Sacroiliac joint,semantic_match,SP1Y,Other specified joint disorders (TM2),semantic_match
AAB-81,vartmastamBaH (kEvalavAta),"9A03.01, 9A03.02, 9A03.03, 9A03.12, 9A03.13, 9A03.1Z, 9A05.Y, 9A05.Z, 9A06.1, 9A06.Y, NA06.02","Entropion of eyelid, unspecified, Mechanical ptosis of eyelid, Movement disorders of eyelid, unspecified, Myogenic ptosis of eyelid, Oedema of eyelid, Other specified disorders of eyelid, Other specified movement disorders of eyelid, Paralytic ptosis of eyelid, Senile entropion of eyelid, Spastic entropion of eyelid, Vitiligo of eyelid or periocular area",semantic_match,SK6M,Sticky eyelids disorder (TM2),semantic_match
AAB-82(SK7Y),vartmasa~gkocaH (kEvalavAta),,,,SN4D,Vitiligo disorder (TM2),semantic_match
AAB-83(SP9Y),vakShoparodhaH (kEvalavAta),,,,SK55,Weakness of thighs due to vata disorder (TM2),semantic_match
AAB-84(SP9Y),vakShastodaH (kEvalavAta),,,,SL61,Heart pain disorder (TM2),semantic_match
SK53(AAB-85),vAk-sa~ggaH (kEvalavAta),,,,SK53,Stammering disorder (TM2),direct_match
AAB-86(SP9Y),vAcAlatA (kEvalavAta),,,,SL07,Speech disorder (TM2),semantic_match
AAB-87(SP1Y),vAtakhuDDatA/vAtakaNTakaH (kEvalavAta),,,,SK55,Weakness of thighs due to vata disorder (TM2),semantic_match
AAB-88(SP9Y),vAmanatvam (kEvalavAta),,,,SM9B,Vaginismus disorder (TM2),semantic_match
AAB-89(SM37),viD-BedaH (kEvalavAta),,,,SM37,Diarrhoea disorder (TM2),semantic_match
AAB-90,vipAdikA (nAnAtmaja) (kEvalavAta),,,,SK55,Weakness of thighs due to vata disorder (TM2),semantic_match
AAB-91(SQ04),viShAdaH/dInatA (kEvalavAta),"6A71.Z, 6A7Z","Depressive disorders, unspecified, Recurrent depressive disorder, unspecified",semantic_match,SQ04,Depressive disorder (TM2),semantic_match
AAB-94(SP9Y),vyathA (kEvalavAta),,,,SE5Z,"Traditional medicine disorders (TM1), unspecified",semantic_match
AAB-95(SL7Y),SirAsPUrtiH (kEvalavAta),,,,SM9B,Vaginismus disorder (TM2),semantic_match
AAB-96,Siroruk (kEvalavAta),"8A82, 8A8Z, MG30.65","Chronic headache or orofacial pain associated with cranial or cervical vascular disorder, Headache disorders, unspecified, Trigeminal autonomic cephalalgias",semantic_match,SD1Z,"Headache disorders (TM1), unspecified",semantic_match
SN03(AAB-97),SukrakShayaH (kEvalavAta),,,,SN03,Oligospermia disorder (TM2),direct_match
AAB-98,Sa~gkhaBedaH (kEvalavAta),,,,SK00,Cephalalgia disorder (TM2),semantic_match
SN07(AAB-99),SePastamBaH (kEvalavAta),,,,SN07,Priapism disorder (TM2),direct_match
AAB-100(SP9Y),Saityam (kEvalavAta),,,,SP55,Fever with chills disorder (TM2),semantic_match
AAB-101,SyAvAruNAsyatA (kEvalavAta),,,,SN4J,Black red skin lesion disorder (TM2),semantic_match
AAB-102,SroNiBedaH (kEvalavAta),,,,SK55,Weakness of thighs due to vata disorder (TM2),semantic_match
AAB-103(SP9Y),sa~gkocaH (kEvalavAta),,,,SP5B,Consumptive disorder (TM2),semantic_match
AAB-104,svedanASaH (kEvalavAta),"EE00.00, EE00.01, EE00.02, EE00.0Y, EE00.0Z, EE00.1, EE00.Z","Axillary hyperhidrosis, Craniofacial hyperhidrosis, Hyperhidrosis, unspecified, Localised hyperhidrosis, unspecified, Other specified localised hyperhidrosis, Palmoplantar hyperhidrosis, Primary generalised hyperhidrosis",semantic_match,SR84,Hyperhidrosis pattern (TM2),semantic_match
AAB-105(SP9Y),SramaH (kEvalavAta),,,,SP97,Severe fatigue disorder (TM2),semantic_match
AAB-106,sarvA~ggarogaH/sarvA~ggavAtaH (kEvalavAta),,,,SK55,Weakness of thighs due to vata disorder (TM2),semantic_match
AAB-107(SK52),stamBaH (kEvalavAta),,,,SE3A,Infant stiffness disorder (TM1),semantic_match
AAB-108(SP4Y),hanuBedaH (kEvalavAta),,,,SM1J,Sensitive teeth disorder (TM2),semantic_match
AAB-109,hikkA (kEvalavAta),XH1054,Hibernoma,semantic_match,SS82,Vata predominant age pattern (TM2),semantic_match
SL62(AAB-110),hRuddravaH (kEvalavAta),,,,SL62,Palpitation disorder (TM2),direct_match
