NAMASTE_code,NAMASTE_term,Biomedicine_code,Biomedicine_term,Biomedicine_mapping_type,TM-2_code,TM-2_term,TM-2_mapping_type
PE-4.23,saviSha-Sava sparSanam,,,,SN5Z,"Skin disorders (TM2), unspecified",semantic_match
PE-4.24,saviSha-mUtrasparSanam,,,,SR8A,Urine like colour of raw-meat washings pattern (TM2),semantic_match
PE-4.25,saviSha-purIShasparSanam,,,,SQ6Z,"Poisoning disorders (TM2), unspecified",semantic_match
PE-4.26,subAdhaka kITadaShTa,"EK50.02, EK50.0Y, EK50.0Z, NC51.11, ND11.3, ND11.A, XJ69A","Cutaneous insect bite reactions, unspecified, Insect bite, nonvenomous, Nonvenomous insect bite of ankle, Nonvenomous insect bite of other or unspecified parts of foot, Nonvenomous insect bite of other parts of wrist or hand, Other specified cutaneous insect bite reactions, Persistent insect bite reaction",semantic_match,SQ5Y,Other specified infestation disorders (TM2),semantic_match
PE-4.27,karNapraviShTa-kITaviShaH,,,,SQ6Z,"Poisoning disorders (TM2), unspecified",semantic_match
PE-4.28,gRuhagodhikAdaShTaH,,,,SQ6Z,"Poisoning disorders (TM2), unspecified",semantic_match
PE-4.29,kRukalAsadaShTaH,,,,SQ6Z,"Poisoning disorders (TM2), unspecified",semantic_match
PE-4.30,ucciTi~ggadaShTaH,XM1KF5,Crab seafood poison,semantic_match,SQ6Z,"Poisoning disorders (TM2), unspecified",semantic_match
PE-4.31,saviSha-jalaukAdaShTaH,,,,SP92,Oedema disorder (TM2),semantic_match
PE-4.32,saviSha-matsyadaShTaH,,,,SQ6Z,"Poisoning disorders (TM2), unspecified",semantic_match
PE-6.9,mUtra-lUtAviShaH,,,,SQ6Z,"Poisoning disorders (TM2), unspecified",semantic_match
PE-4.33,saviSha-prANidaShTaH,EK50.0Z,"Cutaneous insect bite reactions, unspecified",semantic_match,SQ6Z,"Poisoning disorders (TM2), unspecified",semantic_match
PE-4.34,catuShpAda-daShTaH,"8A8Z, 8B88.Y, 8C71.Y","Headache disorders, unspecified, Other specified disorders of facial nerve, Other specified myotonic disorders",semantic_match,SK5Y,"Other specified head, brain, nerve and movement disorders (TM2)",semantic_match
PE-5,vRuScikaviShaH,"4A84.2, XE2PR, XM0E23, XM0YV3, XM10R0, XM11L8, XM12P5, XM2HW7, XM3HL0, XM48S4, XM52D7, XM5QE7, XM5V26, XM6052, XM67X5, XM6QQ2, XM72V7, XM8F59, XM8XC7","Anaphylaxis due to insect venom, Australian black rock scorpion venom, Australian desert scorpion venom, Australian forest scorpion venom, Australian marbled scorpion venom, Bark scorpion venom, Black emperor scorpion venom, Brazilian yellow scorpion venom, Chinese scorpion venom, Common yellow scorpion venom, Death stalker scorpion venom, Giant forest scorpion venom, Indian cobra snake venom, Indian red scorpion venom, Lesser Asian scorpion venom, Scorpionfish venom, Snake venom or bite hemocoagulase, Venomous or toxic plant, not elsewhere classified, Yellow creeping leg scorpion venom",semantic_match,SQ6Z,"Poisoning disorders (TM2), unspecified",semantic_match
PE-5.1,mandaviSha-vRuScikadaShTaH,"EK50.0Z, XJ69A","Cutaneous insect bite reactions, unspecified, Insect bite, nonvenomous",semantic_match,SQ6Z,"Poisoning disorders (TM2), unspecified",semantic_match
PE-5.2,madhyaviSha-vRuScikadaShTaH,,,,SD1Z,"Headache disorders (TM1), unspecified",semantic_match
PE-5.3,tIkShNa/mahAviSha-vRuScikadaShTaH,,,,SQ6Z,"Poisoning disorders (TM2), unspecified",semantic_match
PE-5.4,asAdhyavRuScikAviShaH,"XE2EP, XM67X5","Indian red scorpion venom, Scorpion",semantic_match,SF14,Phlegm-fire harassing the heart system pattern (TM1),semantic_match
PE-6,lUtAviShaH,"4A84.2, XE2PR, XM0C68, XM0U57, XM1LF5, XM1TF6, XM1VW1, XM2JA0, XM2RM6, XM2WM2, XM3KD6, XM3UW9, XM4CL4, XM57S7, XM5V26, XM67X5, XM6PY9, XM6QH2, XM6SD4, XM7HD4, XM7M21, XM7P10, XM8095, XM8FT7, XM8P00, XM9E44, XM9Z42","Anaphylaxis due to insect venom, Black widow spider venom, Brown recluse spider venom, Brown widow spider venom, False widow spider venom, Funnel web spider venom, Gila monster lizard venom, Hobo spider venom, Indian red scorpion venom, Jumping spider venom, Lion's mane jellyfish venom, Lionfish venom, Mouse spider venom, Mulga snake venom, Red widow spider venom, Redback spider venom, Scorpionfish venom, Six eyed sand spider venom, Stingray venom, Stonefish venom, Tarantula spider venom, Venomous or toxic plant, not elsewhere classified, Wandering spider venom, Waspfish venom, Weeverfish venom, Wolf spider venom, Yellow sac spider venom",semantic_match,SQ6Z,"Poisoning disorders (TM2), unspecified",semantic_match
PE-6.1,vAtika-lUtAviShaH,,,,SK55,Weakness of thighs due to vata disorder (TM2),semantic_match
PE-6.2,paittika-lUtAviShaH,"EK50.0Y, EK50.0Z, XJ69A","Cutaneous insect bite reactions, unspecified, Insect bite, nonvenomous, Other specified cutaneous insect bite reactions",semantic_match,SP52,Fever disorder with excessive salivation (TM2),semantic_match
PE-6.3,SlaiShmika-lUtAviShaH,"DA01.02, DA03.Z","Diseases of tongue, unspecified, Wandering rash of the mouth",semantic_match,SP52,Fever disorder with excessive salivation (TM2),semantic_match
PE-6.4,trimaNDala-lUtAviShaH,EF20.3,Spider telangiectasis,semantic_match,SQ6Z,"Poisoning disorders (TM2), unspecified",semantic_match
PE-6.5,Sveta-lUtAviShaH,,,,SQ6Z,"Poisoning disorders (TM2), unspecified",semantic_match
PE-6.6,kapila-lUtAviShaH,,,,SQ6Z,"Poisoning disorders (TM2), unspecified",semantic_match
PE-6.7,pItikA-lUtAviShaH,,,,SQ6Z,"Poisoning disorders (TM2), unspecified",semantic_match
PE-6.8,AlA-lUtAviShaH,,,,SQ6Z,"Poisoning disorders (TM2), unspecified",semantic_match
PE-6.10,rakta-lUtAviSha,,,,SK98,Ozaena disorder (TM2),semantic_match
SI-3.4,snehabastivyApadaH,,,,SL2Z,"Eye, ear, nose, throat and neck disorders (TM2), unspecified",semantic_match
PE-6.11,kasana-lUtAviShaH,,,,SQ60,Pseudo poisoning disorder (TM2),semantic_match
PE-6.12,sauvarNika-lUtAviShaH,,,,SQ6Z,"Poisoning disorders (TM2), unspecified",semantic_match
PE-6.13,lAjavarNa-lUtAviShaH,,,,SQ6Z,"Poisoning disorders (TM2), unspecified",semantic_match
PE-6.14,jAlinI-lUtAviShaH,,,,SQ6Z,"Poisoning disorders (TM2), unspecified",semantic_match
PE-6.15,eNIpada-lUtAviShaH,,,,SQ6Y,Other specified poisoning disorders (TM2),semantic_match
PE-6.16,kRuShNa-lUtAviShaH,,,,SQ6Z,"Poisoning disorders (TM2), unspecified",semantic_match
PE-6.17,agnivaktra-lUtAviShaH,,,,SQ6Z,"Poisoning disorders (TM2), unspecified",semantic_match
PE-6.18,kAkANDika-lUtAviShaH,,,,SQ6Z,"Poisoning disorders (TM2), unspecified",semantic_match
PE-6.19,mAlAguNa-lUtAviShaH,,,,SQ6Z,"Poisoning disorders (TM2), unspecified",semantic_match
PE-6.20,lUtAviSha-adhiShThAnajanyarogaH,,,,SQ6Z,"Poisoning disorders (TM2), unspecified",semantic_match
PE-6.20.1,lAlA-lUtAviShaH,,,,SN4K,Urticaria disorder (TM2),semantic_match
PE-6.20.2,nakhAgradaMSa-lUtAviShaH,,,,SP91,Generalised oedema disorder (TM2),semantic_match
PE-6.20.3,daMShTrA-lUtAviShaH,,,,SB77,Erysipelas disorder (TM1),semantic_match
PE-6.20.4,rajo-lUtAviShaH,,,,SN4G,Melasma disorder (TM2),semantic_match
PE-6.20.5,purISha-lUtAviShaH,,,,SN4P,Pemphigus vulgaris disorder (TM2),semantic_match
PE-6.20.6,Sukra-lUtAviShaH,,,,SN4W,Ulcer disorder (TM2),semantic_match
PE-6.21,Agneya-lUtAviShaH,JB46.3,Agalactia,semantic_match,SN4P,Pemphigus vulgaris disorder (TM2),semantic_match
PE-6.22,prANahara-lUtAviShaH,,,,SK98,Ozaena disorder (TM2),semantic_match
PE-6.23,asAdhya-lUtAviShaH,,,,SN4W,Ulcer disorder (TM2),semantic_match
PE-6.24,kRucCrasAdhya-lUtAviShaH,,,,SD1Z,"Headache disorders (TM1), unspecified",semantic_match
PE-6.25,lUtAviSha-dinArdha-avasthAviSeShaH,,,,SS73,Ṣafrā’ predominant temperament pattern (TM2),semantic_match
PE-6.25.1,lUtAviSha-prathamadina-avasthAviSeShaH,,,,SN5Z,"Skin disorders (TM2), unspecified",semantic_match
PAT,prAkRutikaH,,,,SN07,Priapism disorder (TM2),semantic_match
PE-6.25.2,lUtAviSha-dvitIyadina-avasthAviSeShaH,,,,SK6X,Phthisis bulbi disorder (TM2),semantic_match
PE-6.25.3,lUtAviSha-tRutIyadina-avasthAviSeShaH,ED9Y,Other specified disorders involving the hair follicle,semantic_match,SN70,Furunculosis of scalp disorder (TM2),semantic_match
PE-6.25.4,lUtAviSha-caturthadina-avasthAviSeShaH,,,,SK10,Vertigo and giddiness disorder (TM2),semantic_match
PE-6.25.5,lUtAviSha-pa~jcamadina-avasthAviSeShaH,,,,SQ6Z,"Poisoning disorders (TM2), unspecified",semantic_match
PE-6.25.6,lUtAviSha-ShaShThadina-avasthAviSeShaH,,,,SQ6Y,Other specified poisoning disorders (TM2),semantic_match
PE-6.25.7,lUtAviSha-saptamadina-avasthAviSeShaH,,,,SK6X,Phthisis bulbi disorder (TM2),semantic_match
Q,AhAravaiShamyam,,,,SQ80,Inadequate diet disorders (TM2),semantic_match
SQ80 (Q-1),hInamAtrAhAraH,,,,SQ80,Inadequate diet disorders (TM2),direct_match
Q-2 (SQ2Y),atimAtrAhAraH/AhArAtiyogaH,"5C3Y, 5C3Z","Nutritional disorders, unspecified, Other specified nutritional disorders",semantic_match,SQ80,Inadequate diet disorders (TM2),semantic_match
Q-3 (SQ2Y),viruddhAnnaBojanam/viruddhAhAraH,,,,SQ80,Inadequate diet disorders (TM2),semantic_match
Q-4 (SQ2Y),jA~ggalamAMsAtyupayogaH,,,,SA54,Food retention disorder (TM1),semantic_match
Q-5,ekaSePakShIrapAnam,,,,SN11,Vitiated breast milk disorder (TM2),semantic_match
Q-6 (SQ2Y),uShNavIrya-dravyAtiyogaH/Agneya-dravyAtiyogaH,5C3Z,"Nutritional disorders, unspecified",semantic_match,SQ80,Inadequate diet disorders (TM2),semantic_match
Q-7 (SQ2Y),navaguDa-atyupayogaH,,,,SM3C,Food stasis indigestion disorder (TM2),semantic_match
Q-8 (SQ2Y),SAlidhAnya-atiyogaH,,,,SQ80,Inadequate diet disorders (TM2),semantic_match
Q-9 (SQ2Y),tailasevana-atiyogaH,,,,SQ80,Inadequate diet disorders (TM2),semantic_match
Q-10,madyapAnAtiyogaH,,,,SE5Z,"Traditional medicine disorders (TM1), unspecified",semantic_match
Q-11 (SQ2Y),dadhi-mithyopayogaH,"5C3Y, 5C3Z","Nutritional disorders, unspecified, Other specified nutritional disorders",semantic_match,SQ80,Inadequate diet disorders (TM2),semantic_match
Q-12 (SQ2Y),rasAtiyogaH,MB29.2,Eating of non-nutritive substances,semantic_match,SQ80,Inadequate diet disorders (TM2),semantic_match
Q-12.1,madhurarasAtiyogaH,,,,SM3C,Food stasis indigestion disorder (TM2),semantic_match
Q-12.2,amlarasAtiyogaH,,,,SM1J,Sensitive teeth disorder (TM2),semantic_match
SA-1,snehana-ayogaH,,,,SE5Z,"Traditional medicine disorders (TM1), unspecified",semantic_match
U,samyak-cikitsA,,,,SS61,"Personality with an agitated, reactive mindset (TM2)",semantic_match
JB,Awrām-i-Ẓāhir-i-Badan,,,,SM1L,Itchy swollen lip diorder (TM2),semantic_match
Q-12.3,lavaNarasAtiyogaH,,,,SN42,Dryness of skin disorder (TM2),semantic_match
Q-12.4,kaTurasAtiyogaH,,,,SQ6Y,Other specified poisoning disorders (TM2),semantic_match
Q-12.5,tiktarasAtiyogaH,,,,SM3C,Food stasis indigestion disorder (TM2),semantic_match
Q-12.6,kaShAyarasAtiyogaH,,,,SM3C,Food stasis indigestion disorder (TM2),semantic_match
R (SQ8Y),vihAravaiShamyam,,,,SN4D,Vitiligo disorder (TM2),semantic_match
RA,nidrA-vaiShamyam,,,,SQ24,Insomnia disorder (TM2),semantic_match
SQ24 (RA-1),nidrAnASaH/asvapnaH,"7A00, 7A0Z, 7A26, 7A42.Z, 7A4Z, 7A83, 7A87, 7A8Z, 7B00.Z, 7B01.0, 7B01.Z, 7B0Z, 7B2Z, MG41","Chronic insomnia, Disorders of arousal from non-REM sleep, unspecified, Insomnia disorders, unspecified, Insufficient sleep syndrome, Parasomnia disorders, unspecified, Parasomnias related to REM sleep, unspecified, REM sleep behaviour disorder, Sleep disturbance, not elsewhere classified, Sleep-related breathing disorders, unspecified, Sleep-related bruxism, Sleep-related hypoventilation or hypoxemia disorders, unspecified, Sleep-related movement disorder due to a medical condition, Sleep-related movement disorders, unspecified, Sleep-wake disorders, unspecified",semantic_match,SQ24,Insomnia disorder (TM2),direct_match
RA-2 (SQ2Y),akAlaSayanam,"7A00, 7A0Z, 7A26, 7A41, 7B00.Z, 7B01.0, 7B2Y, 7B2Z","Chronic insomnia, Disorders of arousal from non-REM sleep, unspecified, Insomnia disorders, unspecified, Insufficient sleep syndrome, Obstructive sleep apnoea, Other specified sleep-wake disorders, REM sleep behaviour disorder, Sleep-wake disorders, unspecified",semantic_match,SQ24,Insomnia disorder (TM2),semantic_match
RA-3,divAsvapnaH,,,,SQ24,Insomnia disorder (TM2),semantic_match
RA-4 (SQ2Y),divAsvapna-upadravaH,,,,SQ24,Insomnia disorder (TM2),semantic_match
RB (SQ8Y),RutucaryA-vaiShamyam,,,,SD90,Seasonal cold disorder (TM1),semantic_match
RB-1 (SQ8Y),Rutu-apacAraH,,,,SD90,Seasonal cold disorder (TM1),semantic_match
RC,snAna-vaiShamyam,,,,SM95,Vaginitis disorder (TM2),semantic_match
RC-1,uShNajala-SiraHsnAnaH,"ED7Y, EG30.Z","Other specified disorders of hair, Skin disorders localised to the scalp, unspecified",semantic_match,SN70,Furunculosis of scalp disorder (TM2),semantic_match
RD,vegAvarodhaH,HA00.2,"Hypoactive sexual desire dysfunction, acquired, generalised",semantic_match,SN4D,Vitiligo disorder (TM2),semantic_match
SF,bRuMhaNa-apacAraH,,,,SE5Y,Other specified traditional medicine disorders (TM1),semantic_match
SS2E (RD-1),adhovAta-vegAvarodhaH,,,,SS2E,Suppression of flatus pattern (TM2),direct_match
SS28 (RD-2),aSruvegarodhaH/bAShpavegarodhaH,,,,SS28,Suppression of tears pattern (TM2),direct_match
SS29 (RD-3),CardivegarodhaH,,,,SS29,Suppression of vomiting pattern (TM2),direct_match
RD-4,hikkAvegarodhaH,MD11.6,Hiccough,semantic_match,SM74,Hiccough disorder (TM2),semantic_match
SS21 (RD-5),jRumBA-vegAvarodhaH,,,,SS21,Suppression of yawning pattern (TM2),direct_match
SS27 (RD-6),kShavathuvegarodhaH,,,,SS27,Suppression of sneeze pattern (TM2),direct_match
SS25 (RD-7),mUtra-vegarodhaH/mUtragraha,,,,SS25,Suppression of micturition pattern (TM2),direct_match
SS26 (RD-8),nidrAvegarodhaH,,,,SS26,Suppression of sleep pattern (TM2),direct_match
SS2A (RD-9),purIShavegarodhaH/purISha-grahaH,,,,SS2A,Suppression of stool pattern (TM2),direct_match
SS2B (RD-10),SramaSvAsa-vegAvarodhaH,,,,SS2B,Supression of exertional hyperpnea pattern (TM2),direct_match
SS23 (RD-11),SukravegarodhaH,,,,SS23,Suppression of semen pattern (TM2),direct_match
SS2D (RD-12),tRuShNAvegarodhaH,,,,SS2D,Suppression of thirst pattern (TM2),direct_match
RD-13,udgAragrahaH,,,,SE5Y,Other specified traditional medicine disorders (TM1),semantic_match
SS2C (RD-14),kShud-vegarodhaH,,,,SS2C,Suppression of hunger pattern (TM2),direct_match
RE,vyavAya-vaiShamyam/maithunApacAraH,,,,SN4D,Vitiligo disorder (TM2),semantic_match
RE-1 (SN3Y),vyavAyamithyAyogaH/mithyAvyavAya,6C72,Compulsive sexual behaviour disorder,semantic_match,SQ2Z,"Behavioural disorders (TM2), unspecified",semantic_match
RE-2 (SN3Y),vyavAyAtiyogaH,,,,SQ2Z,"Behavioural disorders (TM2), unspecified",semantic_match
RF (SQ8Y),vyAyAma-vaiShamyam,,,,SM9B,Vaginismus disorder (TM2),semantic_match
RF-1 (SQ8Y),ativyAyAmaH/vyAyAmAtiyogaH,,,,SP64,Obesity disorder (TM2),semantic_match
RF-2 (SQ8Y),avyAyAmaH,,,,SP96,Laziness disorder (TM2),semantic_match
S,cikitsApacAraH,1G06,Cimicosis,semantic_match,SB31,Impetigo disorder (TM1),semantic_match
SA,snehana-apacAraH,,,,SN4V,Acne disorder (TM2),semantic_match
SA-2,snehana-atiyogaH,,,,SM3H,Nausea disorder (TM2),semantic_match
SA-3,snehana-mithyAyogaH/mithyAsnehanam/snehana-vyApadaH/snehaviBramaH,,,,SE5Z,"Traditional medicine disorders (TM1), unspecified",semantic_match
SB,svedana-apacAraH,,,,SN00,Balanitis disorder (TM2),semantic_match
SB-1,svedana-ayogaH,DA04.4,Sialolithiasis,semantic_match,SN4D,Vitiligo disorder (TM2),semantic_match
SB-2,svedana-atiyogaH,,,,SN00,Balanitis disorder (TM2),semantic_match
SC,rUkShaNa-apacAraH,,,,SN47,Dracunculosis disorder (TM2),semantic_match
SC-3,rUkShaNa-atiyogaH,,,,SE5Y,Other specified traditional medicine disorders (TM1),semantic_match
SD,stamBana-apacAraH,,,,SR00,Marasmus disorder (TM2),semantic_match
SD-1,stamBana-atiyogaH,XM9D37,Antiscorpion sera,semantic_match,SA90,Stony stranguria disorder (TM1),semantic_match
SD-2,AmAtisArasa~ggrahaH,DD7Z,"Inflammatory bowel diseases, unspecified",semantic_match,SM31,Abdominal distension disorder (TM2),semantic_match
SD-3,aSuddharaktastaMBanam,,,,SL2Z,"Eye, ear, nose, throat and neck disorders (TM2), unspecified",semantic_match
SD-4,akShINabalamAMsasya raktapitta-stamBanam,ME24.A5,Haematemesis,semantic_match,SM8A,Haematuria disorder (TM2),semantic_match
SE,la~gghana-apacAraH,,,,SE5Z,"Traditional medicine disorders (TM1), unspecified",semantic_match
SE-1,la~gghana atiyoga lakShaNam,,,,SL2Z,"Eye, ear, nose, throat and neck disorders (TM2), unspecified",semantic_match
SF-1,bRuMhaNa-atiyogaH,,,,SE5Y,Other specified traditional medicine disorders (TM1),semantic_match
SG,vamana-apacAraH,QB99,Apheresis,semantic_match,SM9B,Vaginismus disorder (TM2),semantic_match
SG-1,vamana-ayogaH,,,,SK55,Weakness of thighs due to vata disorder (TM2),semantic_match
SG-2,vamana-atiyogaH,,,,SM9B,Vaginismus disorder (TM2),semantic_match
SG-3,vamana-mithyAyogaH/avamyAnAM vamanavyApadaH,,,,SM9B,Vaginismus disorder (TM2),semantic_match
SG-3.1,kShatasya vamanavyApadaH,,,,SM8A,Haematuria disorder (TM2),semantic_match
SG-3.2,kShINAtisthUlakRuSabAlavRUddhadurbalAnAmauShadhabalAsahatvAt,,,,SM9B,Vaginismus disorder (TM2),semantic_match
SG-3.3,SramArtamattamUrcCitAnAM nasyavyApadaH,,,,SN07,Priapism disorder (TM2),semantic_match
SG-3.4,karmaBArAdhvahtopavAsamaithunAdhyayanavyAyAmacintAprasakta v,,,,SK55,Weakness of thighs due to vata disorder (TM2),semantic_match
SG-3.5,garBiNyA vamanavyApadaH,,,,SN1Z,"Pregnancy and childbirth related disorders (TM2), unspecified",semantic_match
SG-3.6,sukumArasya vamanavyApadaH,9B8Z,"Disorders of the vitreous body, unspecified",semantic_match,SM9B,Vaginismus disorder (TM2),semantic_match
SG-3.7,saMvRutakoShThasya vamanavyApadaH,,,,SM9B,Vaginismus disorder (TM2),semantic_match
SG-3.8,Urdhvagaraktapitta vamanasya vyapadaH,,,,SM9B,Vaginismus disorder (TM2),semantic_match
SG-3.9,prasaktacCarde vamanavyApadaH,,,,SM3L,Vomiting disorder (TM2),semantic_match
SG-3.10,UrdhvavAtAsthApitAnuvAsitAnAM vamanavyApadaH,,,,SM9B,Vaginismus disorder (TM2),semantic_match
SG-3.11,hRUdrogiNa vamanavyApadaH,,,,SM9B,Vaginismus disorder (TM2),semantic_match
SG-3.12,udAvartA vamanasya vyapadaH,,,,SM9B,Vaginismus disorder (TM2),semantic_match
SG-3.13,mUtrAghAtaplIhagulmodarAShThIlAsvaropaghAtArtAnAM vamanavyApadaH,,,,SM16,Sialorrhoea disorder (TM2),semantic_match
SG-3.14,timira vamanasya vyapadaH,,,,SK65,Cataract disorder (TM2),semantic_match
SG-4.1,AdhmAnam-vamanavyApad,,,,SM9B,Vaginismus disorder (TM2),semantic_match
SG-4.2,parikartikA-vamanavyApad,,,,SM95,Vaginitis disorder (TM2),semantic_match
SG-4.3,parisrAvaH-vamanavyApad,RA00.0,Vaping related disorder,semantic_match,SK55,Weakness of thighs due to vata disorder (TM2),semantic_match
SG-4.4,hRUdayopasaraNam/hRudagraha virecanavyApad,,,,SM9B,Vaginismus disorder (TM2),semantic_match
SG-4.5,gAtragraha vamana vyApada,,,,SK55,Weakness of thighs due to vata disorder (TM2),semantic_match
SG-4.6,jIvAdAnam vamanavyApad,,,,SM8A,Haematuria disorder (TM2),semantic_match
SG-4.7,viBraMSa: vamanavyApad,,,,SM9B,Vaginismus disorder (TM2),semantic_match
SG-4.8,stamBaH vamana vyApada,,,,SM9B,Vaginismus disorder (TM2),semantic_match
SG-4.9,upadravaH vamana vyApada,,,,SM9B,Vaginismus disorder (TM2),semantic_match
SG-4.10,klamaH vamana vyApad,,,,SM9B,Vaginismus disorder (TM2),semantic_match
SG-4.11,vAtaSUlavyApat,8B86,Disorders of vagus nerve,semantic_match,SM9B,Vaginismus disorder (TM2),semantic_match
SG-5,pravRuttavamanam/dattavamanam,,,,SM9B,Vaginismus disorder (TM2),semantic_match
SH,virecanakarma-cikitsApacAraH,,,,SN4D,Vitiligo disorder (TM2),semantic_match
SH-1,virecanAtiyoga,,,,SN4D,Vitiligo disorder (TM2),semantic_match
SH-2,virecanAyoga,,,,SK55,Weakness of thighs due to vata disorder (TM2),semantic_match
SH-3,mithyAvirecanam/virecanamithyAyogaH/avirecyAnAM virecanavyApadaH,,,,SM9B,Vaginismus disorder (TM2),semantic_match
SH-3.1,suBaga virecanasya-vyapadaH,"9B8Y, 9B8Z","Disorders of the vitreous body, unspecified, Other specified disorders of the vitreous body",semantic_match,SN4D,Vitiligo disorder (TM2),semantic_match
SH-3.2,sukumArasya virecanavyApadaH,"9B8Y, 9B8Z","Disorders of the vitreous body, unspecified, Other specified disorders of the vitreous body",semantic_match,SN4D,Vitiligo disorder (TM2),semantic_match
SH-3.3,kShatagudasya virecanasya-vyapadaH,,,,SB7C,Fissured anus disorder (TM1),semantic_match
SH-3.4,muktanAla virecanasya-vyapadaH,"9B82, DB31.2","Rectal prolapse, Vitreous prolapse",semantic_match,SM55,Rectal prolapse disorder (TM2),semantic_match
SH-3.5,adhoBAgaraktapittina virecanavyApad,,,,SL81,Bleeding disorder disorder (TM2),semantic_match
SH-3.6,vila~gghitadurbalendriyAlpAgninirUDhANAM virecanavyApadaH,,,,SK21,Paraplegia disorder (TM2),semantic_match
SH-3.7,kAmAdivyagramanaso virecanasya-vyapadaH,,,,SN4D,Vitiligo disorder (TM2),semantic_match
SH-3.8,ajIrNina virecanavyApadaH,,,,SM3B,Indigestion disorder (TM2),semantic_match
SH-3.9,navajvari virecanasya-vyapadaH,,,,SN4D,Vitiligo disorder (TM2),semantic_match
SH-3.10,madAtyayita virecanasya-vyapadaH,,,,SN4D,Vitiligo disorder (TM2),semantic_match
SH-3.11,AdhmAtasya virecanavyApadaH,,,,SN4D,Vitiligo disorder (TM2),semantic_match
SH-3.12,SalyArditasya virecanavyApadaH,,,,SN4D,Vitiligo disorder (TM2),semantic_match
SH-3.13,aBighAtina virecanavyApadaH,,,,SN4D,Vitiligo disorder (TM2),semantic_match
SH-3.14,atisnigdha virecanasya-vyApad,,,,SN4D,Vitiligo disorder (TM2),semantic_match
SH-3.15,atirukShasya virecanavyApad,"8A0Z, MB53.2, MB54.1, MB55.1","Movement disorders, unspecified, Spastic hemiplegia, Spastic monoplegia of lower extremity, Spastic monoplegia of upper extremity",semantic_match,SE3B,Infant limpness disorder (TM1),semantic_match
SH-3.16,dAruNakoShThasya virecanavyApadaH,,,,SB40,Septicemic furunculosis disorder (TM1),semantic_match
SH-4,virecana/vyApadaH,,,,SN4D,Vitiligo disorder (TM2),semantic_match
SH-4.1,AdhmAnam-virecanavyApad,9B8Z,"Disorders of the vitreous body, unspecified",semantic_match,SC21,Vaginal flatus disorder (TM1),semantic_match
SH-4.2,parikartikA-virecanavyApad,,,,SM50,Proctalgia disorder (TM2),semantic_match
SH-4.3,parisrAvaH virecanavyApad,,,,SK55,Weakness of thighs due to vata disorder (TM2),semantic_match
SH-4.4,hRUdayopasaraNam/hRudagraha virecanavyApad,,,,SL2Z,"Eye, ear, nose, throat and neck disorders (TM2), unspecified",semantic_match
SH-4.5,gAtragraha virecana vyApada,,,,SK55,Weakness of thighs due to vata disorder (TM2),semantic_match
SH-4.6,jIvAdAnam virecanavyApad,,,,SN4D,Vitiligo disorder (TM2),semantic_match
SH-4.7,viBraMSa: virecanavyApad,,,,SN4D,Vitiligo disorder (TM2),semantic_match
SH-4.8,stamBaH virecana vyApada,,,,SM9B,Vaginismus disorder (TM2),semantic_match
SH-4.9,upadravaH virecana vyApada,,,,SM9B,Vaginismus disorder (TM2),semantic_match
SH-4.10,klamaH virecana vyApad,,,,SD91,Fatigue consumption disorder (TM1),semantic_match
JC,Buthūr-i-Ẓāhir-i-Badan,"ED53, EM0Y, EM0Z, ME60.2, ME62.0, ME62.1, ME62.2, ME62.4, ME62.5, ME62.6, ME62.7, ME62.8, ME62.Y","Acute blistering skin eruption, Acute desquamating skin eruption, Acute discoid or annular skin eruption, Acute erythematous skin eruption, Acute exudative skin eruption, Acute papular skin eruption, Acute purpuric skin eruption, Acute urticarial skin eruption, Other specified acute skin eruption of uncertain or unspecified nature, Other specified diseases of the skin, Skin disease of unspecified nature, Skin peeling, Ulcer of skin of uncertain nature",semantic_match,SN5Z,"Skin disorders (TM2), unspecified",semantic_match
SH-4.11,vibandhavyApat,"9B8Y, 9B8Z","Disorders of the vitreous body, unspecified, Other specified disorders of the vitreous body",semantic_match,SN4D,Vitiligo disorder (TM2),semantic_match
SH-5,sAvaSeShauShadha-vyApad,"MB5Y, MB5Z","Other specified paralytic symptoms, Paralytic symptoms, unspecified",semantic_match,SK0Y,Other specified headache disorders (TM2),semantic_match
SI,bastikarma-cikitsApacAraH,1F21,Basidiobolomycosis,semantic_match,SB06.Y,Other specified edema disorders (TM1),semantic_match
SI-1,bastivyApadaH,,,,SB06.Z,"Edema disorders (TM1), unspecified",semantic_match
SI-1.1,ayoga basti vyApad,,,,SR89,"Urine colour of excessive depravement of Vaḷi, Aẕal and Aiyam pattern (TM2)",semantic_match
SI-1.2,atiyoga-bastivyApad,,,,SE5Y,Other specified traditional medicine disorders (TM1),semantic_match
SI-1.3,klama-bastivyApad,,,,SN00,Balanitis disorder (TM2),semantic_match
SI-1.4,AdhmAna-bastivyApad,,,,SM31,Abdominal distension disorder (TM2),semantic_match
SI-1.5,hikkA-bastivyApad,,,,SM74,Hiccough disorder (TM2),semantic_match
SI-1.6,hRutprApti-bastivyApad,,,,SA20,True heart pain disorder (TM1),semantic_match
SI-1.7,UrdhvatA basti vyApad,,,,SN4K,Urticaria disorder (TM2),semantic_match
SI-1.8,pravAhikA basti vyApad,,,,SK55,Weakness of thighs due to vata disorder (TM2),semantic_match
